======================================================================
TAA-PINN TRAINING
======================================================================
Experiment: AS6
Description: 6cm Axisymmetric TAA — data-driven RANS with physics regularization
Geometry: AS6
Device: cuda
Output directory: experiments/AS6
Non-Newtonian viscosity: Carreau-Yasuda
  mu_inf=0.0035, mu_0=0.16, lambda=8.2, n=0.2128, a=0.64
Optimizer strategy: adaptive weights
----------------------------------------------------------------------
LOADING DATA (non-dimensional)
----------------------------------------------------------------------
  Non-dimensional reference scales:
    L_ref         = 0.0500 m
    U_ref         = 0.4373 m/s  (from max|p|=202.67 Pa)
    P_ref         = 202.67 Pa  (= rho * U_ref^2)
    tau_ref       = 0.030608 Pa  (= mu * U_ref / L_ref)
    Re            = 6621.4
    rho           = 1060.0 kg/m^3
    mu            = 0.003500 Pa.s
    coord_scale   = 1.3254  (normalises coords to [-1,1])
    wss_std       = 18.2155  (standardises WSS to O(1))
    pressure_std  = 0.4828  (standardises pressure to O(1))
Loading systolic: 6cm systolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 1.0
Loading diastolic: 6cm diastolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 0.0
  Inlet cross-section: 73 points, radius=10.0 mm
  Outlet cross-section: 73 points, radius=10.0 mm
  Axial direction: X
  Inlet velocity (physical): systolic=0.5 m/s, diastolic=0.1 m/s
Data loading complete!
----------------------------------------------------------------------
INITIALIZING NETWORKS
----------------------------------------------------------------------
  Net_u: 202,497 parameters
  Net_v: 202,497 parameters
  Net_w: 202,497 parameters
  Net_p: 202,497 parameters
  Net_nut: 35,457 parameters
  Total: 845,445 parameters
----------------------------------------------------------------------
INITIALIZING OPTIMIZERS
----------------------------------------------------------------------
Learning rate (flow): 0.0001
Learning rate (nut):  0.001 (10.0x)
Optimizer (flow): AdamW — 809,988 parameters
Optimizer (nut):  AdamW — 35,457 parameters
Scheduler: CosineAnnealingLR
Mixed precision (AMP): disabled
Initialization complete!
======================================================================
STARTING TRAINING
======================================================================
Total epochs: 10000
Evaluate interval: 1000
Save interval: 2500
Early stopping: patience=3000, min_delta=1e-06
Training:   0%|          | 0/10000 [00:00<?, ?epoch/s]/home/olarinoyem/miniconda3/envs/deep_tf/lib/python3.11/site-packages/torch/autograd/graph.py:825: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at ../aten/src/ATen/cuda/CublasHandlePool.cpp:135.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Training:   0%|          | 0/10000 [00:01<?, ?epoch/s, loss=1.278e+04, lr=0.0001]
Training:   4%|▍         | 391/10000 [10:04<5:52:37,  2.20s/epoch, loss=6.01, lr=0.0001] 
Training:   4%|▍         | 392/10000 [10:04<5:53:44,  2.21s/epoch, loss=6.01, lr=0.0001]
Training:   4%|▍         | 392/10000 [10:06<5:53:44,  2.21s/epoch, loss=5.687, lr=0.0001]
Training:   4%|▍         | 393/10000 [10:06<5:52:00,  2.20s/epoch, loss=5.687, lr=0.0001]
Training:   4%|▍         | 393/10000 [10:09<5:52:00,  2.20s/epoch, loss=6.605, lr=0.0001]
Training:   4%|▍         | 394/10000 [10:09<5:52:55,  2.20s/epoch, loss=6.605, lr=0.0001]
Training:   4%|▍         | 394/10000 [10:11<5:52:55,  2.20s/epoch, loss=5.792, lr=0.0001]
Training:   4%|▍         | 395/10000 [10:11<5:53:55,  2.21s/epoch, loss=5.792, lr=0.0001]
Training:   4%|▍         | 395/10000 [10:13<5:53:55,  2.21s/epoch, loss=6.913, lr=0.0001]
Training:   4%|▍         | 396/10000 [10:13<5:52:48,  2.20s/epoch, loss=6.913, lr=0.0001]
Training:   4%|▍         | 396/10000 [10:15<5:52:48,  2.20s/epoch, loss=9.693, lr=0.0001]
Training:   4%|▍         | 397/10000 [10:15<5:52:12,  2.20s/epoch, loss=9.693, lr=0.0001]
Training:   4%|▍         | 397/10000 [10:17<5:52:12,  2.20s/epoch, loss=8.871, lr=0.0001]
Training:   4%|▍         | 398/10000 [10:17<5:52:33,  2.20s/epoch, loss=8.871, lr=0.0001]
Training:   4%|▍         | 398/10000 [10:20<5:52:33,  2.20s/epoch, loss=10.25, lr=0.0001]
Training:   4%|▍         | 399/10000 [10:20<5:53:01,  2.21s/epoch, loss=10.25, lr=0.0001]
Training:   4%|▍         | 399/10000 [10:22<5:53:01,  2.21s/epoch, loss=9.267, lr=0.0001]
Training:   4%|▍         | 400/10000 [10:22<5:51:30,  2.20s/epoch, loss=9.267, lr=0.0001]
Training:   4%|▍         | 400/10000 [10:24<5:51:30,  2.20s/epoch, loss=9.464, lr=0.0001]
Training:   4%|▍         | 401/10000 [10:24<5:52:48,  2.21s/epoch, loss=9.464, lr=0.0001]
Training:   4%|▍         | 401/10000 [10:26<5:52:48,  2.21s/epoch, loss=7.437, lr=0.0001]
Training:   4%|▍         | 402/10000 [10:26<5:52:51,  2.21s/epoch, loss=7.437, lr=0.0001]
Training:   4%|▍         | 402/10000 [10:28<5:52:51,  2.21s/epoch, loss=11.8, lr=0.0001] 
Training:   4%|▍         | 403/10000 [10:28<5:51:46,  2.20s/epoch, loss=11.8, lr=0.0001]
Training:   4%|▍         | 403/10000 [10:31<5:51:46,  2.20s/epoch, loss=8.414, lr=0.0001]
Training:   4%|▍         | 404/10000 [10:31<5:51:48,  2.20s/epoch, loss=8.414, lr=0.0001]
Training:   4%|▍         | 404/10000 [10:33<5:51:48,  2.20s/epoch, loss=10.76, lr=0.0001]
Training:   4%|▍         | 405/10000 [10:33<5:52:25,  2.20s/epoch, loss=10.76, lr=0.0001]
Training:   4%|▍         | 405/10000 [10:35<5:52:25,  2.20s/epoch, loss=8.655, lr=0.0001]
Training:   4%|▍         | 406/10000 [10:35<5:52:56,  2.21s/epoch, loss=8.655, lr=0.0001]
Training:   4%|▍         | 406/10000 [10:37<5:52:56,  2.21s/epoch, loss=8.519, lr=0.0001]
Training:   4%|▍         | 407/10000 [10:37<5:51:53,  2.20s/epoch, loss=8.519, lr=0.0001]
Training:   4%|▍         | 407/10000 [10:40<5:51:53,  2.20s/epoch, loss=7.003, lr=0.0001]
Training:   4%|▍         | 408/10000 [10:40<5:53:06,  2.21s/epoch, loss=7.003, lr=0.0001]
Training:   4%|▍         | 408/10000 [10:42<5:53:06,  2.21s/epoch, loss=9.538, lr=0.0001]
Training:   4%|▍         | 409/10000 [10:42<5:53:16,  2.21s/epoch, loss=9.538, lr=0.0001]
Training:   4%|▍         | 409/10000 [10:44<5:53:16,  2.21s/epoch, loss=7.31, lr=0.0001] 
Training:   4%|▍         | 410/10000 [10:44<5:53:04,  2.21s/epoch, loss=7.31, lr=0.0001]
Training:   4%|▍         | 410/10000 [10:46<5:53:04,  2.21s/epoch, loss=9.222, lr=0.0001]
Training:   4%|▍         | 411/10000 [10:46<5:52:56,  2.21s/epoch, loss=9.222, lr=0.0001]
Training:   4%|▍         | 411/10000 [10:48<5:52:56,  2.21s/epoch, loss=7.097, lr=0.0001]
Training:   4%|▍         | 412/10000 [10:48<5:53:04,  2.21s/epoch, loss=7.097, lr=0.0001]
Training:   4%|▍         | 412/10000 [10:51<5:53:04,  2.21s/epoch, loss=9.883, lr=0.0001]
Training:   4%|▍         | 413/10000 [10:51<5:51:58,  2.20s/epoch, loss=9.883, lr=0.0001]
Training:   4%|▍         | 413/10000 [10:53<5:51:58,  2.20s/epoch, loss=7.528, lr=0.0001]
Training:   4%|▍         | 414/10000 [10:53<5:51:52,  2.20s/epoch, loss=7.528, lr=0.0001]
Training:   4%|▍         | 414/10000 [10:55<5:51:52,  2.20s/epoch, loss=8.393, lr=0.0001]
Training:   4%|▍         | 415/10000 [10:55<5:52:56,  2.21s/epoch, loss=8.393, lr=0.0001]
Training:   4%|▍         | 415/10000 [10:57<5:52:56,  2.21s/epoch, loss=6.983, lr=0.0001]
Training:   4%|▍         | 416/10000 [10:57<5:51:51,  2.20s/epoch, loss=6.983, lr=0.0001]
Training:   4%|▍         | 416/10000 [10:59<5:51:51,  2.20s/epoch, loss=8.014, lr=0.0001]
Training:   4%|▍         | 417/10000 [10:59<5:51:58,  2.20s/epoch, loss=8.014, lr=0.0001]
Training:   4%|▍         | 417/10000 [11:02<5:51:58,  2.20s/epoch, loss=6.251, lr=0.0001]
Training:   4%|▍         | 418/10000 [11:02<5:52:38,  2.21s/epoch, loss=6.251, lr=0.0001]
Training:   4%|▍         | 418/10000 [11:04<5:52:38,  2.21s/epoch, loss=9.168, lr=0.0001]
Training:   4%|▍         | 419/10000 [11:04<5:52:49,  2.21s/epoch, loss=9.168, lr=0.0001]
Training:   4%|▍         | 419/10000 [11:06<5:52:49,  2.21s/epoch, loss=6.608, lr=0.0001]
Training:   4%|▍         | 420/10000 [11:06<5:51:51,  2.20s/epoch, loss=6.608, lr=0.0001]
Training:   4%|▍         | 420/10000 [11:08<5:51:51,  2.20s/epoch, loss=9.71, lr=0.0001] 
Training:   4%|▍         | 421/10000 [11:08<5:51:21,  2.20s/epoch, loss=9.71, lr=0.0001]
Training:   4%|▍         | 421/10000 [11:10<5:51:21,  2.20s/epoch, loss=7.493, lr=0.0001]
Training:   4%|▍         | 422/10000 [11:10<5:50:20,  2.19s/epoch, loss=7.493, lr=0.0001]
Training:   4%|▍         | 422/10000 [11:13<5:50:20,  2.19s/epoch, loss=7.522, lr=0.0001]
Training:   4%|▍         | 423/10000 [11:13<5:49:39,  2.19s/epoch, loss=7.522, lr=0.0001]
Training:   4%|▍         | 423/10000 [11:15<5:49:39,  2.19s/epoch, loss=6.491, lr=0.0001]
Training:   4%|▍         | 424/10000 [11:15<5:49:12,  2.19s/epoch, loss=6.491, lr=0.0001]
Training:   4%|▍         | 424/10000 [11:17<5:49:12,  2.19s/epoch, loss=7.128, lr=0.0001]
Training:   4%|▍         | 425/10000 [11:17<5:49:00,  2.19s/epoch, loss=7.128, lr=0.0001]
Training:   4%|▍         | 425/10000 [11:19<5:49:00,  2.19s/epoch, loss=5.784, lr=0.0001]
Training:   4%|▍         | 426/10000 [11:19<5:50:24,  2.20s/epoch, loss=5.784, lr=0.0001]
Training:   4%|▍         | 426/10000 [11:21<5:50:24,  2.20s/epoch, loss=8.586, lr=0.0001]
Training:   4%|▍         | 427/10000 [11:21<5:49:09,  2.19s/epoch, loss=8.586, lr=0.0001]
Training:   4%|▍         | 427/10000 [11:24<5:49:09,  2.19s/epoch, loss=5.654, lr=0.0001]
Training:   4%|▍         | 428/10000 [11:24<5:51:32,  2.20s/epoch, loss=5.654, lr=0.0001]
Training:   4%|▍         | 428/10000 [11:26<5:51:32,  2.20s/epoch, loss=11.28, lr=0.0001]
Training:   4%|▍         | 429/10000 [11:26<5:52:00,  2.21s/epoch, loss=11.28, lr=0.0001]
Training:   4%|▍         | 429/10000 [11:28<5:52:00,  2.21s/epoch, loss=8.704, lr=0.0001]
Training:   4%|▍         | 430/10000 [11:28<5:49:59,  2.19s/epoch, loss=8.704, lr=0.0001]
Training:   4%|▍         | 430/10000 [11:30<5:49:59,  2.19s/epoch, loss=7.477, lr=0.0001]
Training:   4%|▍         | 431/10000 [11:30<5:49:39,  2.19s/epoch, loss=7.477, lr=0.0001]
Training:   4%|▍         | 431/10000 [11:32<5:49:39,  2.19s/epoch, loss=6.58, lr=0.0001] 
Training:   4%|▍         | 432/10000 [11:32<5:50:13,  2.20s/epoch, loss=6.58, lr=0.0001]
Training:   4%|▍         | 432/10000 [11:35<5:50:13,  2.20s/epoch, loss=6.845, lr=0.0001]
Training:   4%|▍         | 433/10000 [11:35<5:50:38,  2.20s/epoch, loss=6.845, lr=0.0001]
Training:   4%|▍         | 433/10000 [11:37<5:50:38,  2.20s/epoch, loss=6.289, lr=0.0001]
Training:   4%|▍         | 434/10000 [11:37<5:49:23,  2.19s/epoch, loss=6.289, lr=0.0001]
Training:   4%|▍         | 434/10000 [11:39<5:49:23,  2.19s/epoch, loss=6.273, lr=0.0001]
Training:   4%|▍         | 435/10000 [11:39<5:50:05,  2.20s/epoch, loss=6.273, lr=0.0001]
Training:   4%|▍         | 435/10000 [11:41<5:50:05,  2.20s/epoch, loss=5.015, lr=0.0001]
Training:   4%|▍         | 436/10000 [11:41<5:56:46,  2.24s/epoch, loss=5.015, lr=0.0001]
Training:   4%|▍         | 436/10000 [11:43<5:56:46,  2.24s/epoch, loss=11.44, lr=0.0001]
Training:   4%|▍         | 437/10000 [11:43<5:55:58,  2.23s/epoch, loss=11.44, lr=0.0001]
Training:   4%|▍         | 437/10000 [11:46<5:55:58,  2.23s/epoch, loss=7.385, lr=0.0001]
Training:   4%|▍         | 438/10000 [11:46<5:53:51,  2.22s/epoch, loss=7.385, lr=0.0001]
Training:   4%|▍         | 438/10000 [11:48<5:53:51,  2.22s/epoch, loss=12.04, lr=0.0001]
Training:   4%|▍         | 439/10000 [11:48<5:51:26,  2.21s/epoch, loss=12.04, lr=0.0001]
Training:   4%|▍         | 439/10000 [11:50<5:51:26,  2.21s/epoch, loss=8.919, lr=0.0001]
Training:   4%|▍         | 440/10000 [11:50<5:51:57,  2.21s/epoch, loss=8.919, lr=0.0001]
Training:   4%|▍         | 440/10000 [11:52<5:51:57,  2.21s/epoch, loss=9.141, lr=0.0001]
Training:   4%|▍         | 441/10000 [11:52<5:51:46,  2.21s/epoch, loss=9.141, lr=0.0001]
Training:   4%|▍         | 441/10000 [11:54<5:51:46,  2.21s/epoch, loss=8.886, lr=0.0001]
Training:   4%|▍         | 442/10000 [11:54<5:50:40,  2.20s/epoch, loss=8.886, lr=0.0001]
Training:   4%|▍         | 442/10000 [11:57<5:50:40,  2.20s/epoch, loss=8.203, lr=0.0001]
Training:   4%|▍         | 443/10000 [11:57<5:49:40,  2.20s/epoch, loss=8.203, lr=0.0001]
Training:   4%|▍         | 443/10000 [11:59<5:49:40,  2.20s/epoch, loss=9.092, lr=0.0001]
Training:   4%|▍         | 444/10000 [11:59<5:51:01,  2.20s/epoch, loss=9.092, lr=0.0001]
Training:   4%|▍         | 444/10000 [12:01<5:51:01,  2.20s/epoch, loss=10.15, lr=0.0001]
Training:   4%|▍         | 445/10000 [12:01<5:51:00,  2.20s/epoch, loss=10.15, lr=0.0001]
Training:   4%|▍         | 445/10000 [12:03<5:51:00,  2.20s/epoch, loss=12.54, lr=0.0001]
Training:   4%|▍         | 446/10000 [12:03<5:49:58,  2.20s/epoch, loss=12.54, lr=0.0001]
Training:   4%|▍         | 446/10000 [12:05<5:49:58,  2.20s/epoch, loss=10.78, lr=0.0001]
Training:   4%|▍         | 447/10000 [12:05<5:50:48,  2.20s/epoch, loss=10.78, lr=0.0001]
Training:   4%|▍         | 447/10000 [12:08<5:50:48,  2.20s/epoch, loss=9.645, lr=0.0001]
Training:   4%|▍         | 448/10000 [12:08<5:50:58,  2.20s/epoch, loss=9.645, lr=0.0001]
Training:   4%|▍         | 448/10000 [12:10<5:50:58,  2.20s/epoch, loss=8.914, lr=0.0001]
Training:   4%|▍         | 449/10000 [12:10<5:51:10,  2.21s/epoch, loss=8.914, lr=0.0001]
Training:   4%|▍         | 449/10000 [12:12<5:51:10,  2.21s/epoch, loss=6.041, lr=0.0001]
Training:   4%|▍         | 450/10000 [12:12<5:51:49,  2.21s/epoch, loss=6.041, lr=0.0001]
Training:   4%|▍         | 450/10000 [12:14<5:51:49,  2.21s/epoch, loss=9.698, lr=0.0001]
Training:   5%|▍         | 451/10000 [12:14<5:50:48,  2.20s/epoch, loss=9.698, lr=0.0001]
Training:   5%|▍         | 451/10000 [12:16<5:50:48,  2.20s/epoch, loss=6.056, lr=0.0001]
Training:   5%|▍         | 452/10000 [12:16<5:49:56,  2.20s/epoch, loss=6.056, lr=0.0001]
Training:   5%|▍         | 452/10000 [12:19<5:49:56,  2.20s/epoch, loss=7.622, lr=9.9e-05]
Training:   5%|▍         | 453/10000 [12:19<5:51:32,  2.21s/epoch, loss=7.622, lr=9.9e-05]
Training:   5%|▍         | 453/10000 [12:21<5:51:32,  2.21s/epoch, loss=9.259, lr=9.9e-05]
Training:   5%|▍         | 454/10000 [12:21<5:51:10,  2.21s/epoch, loss=9.259, lr=9.9e-05]
Training:   5%|▍         | 454/10000 [12:23<5:51:10,  2.21s/epoch, loss=11.34, lr=9.9e-05]
Training:   5%|▍         | 455/10000 [12:23<5:50:18,  2.20s/epoch, loss=11.34, lr=9.9e-05]
Training:   5%|▍         | 455/10000 [12:25<5:50:18,  2.20s/epoch, loss=8.799, lr=9.9e-05]
Training:   5%|▍         | 456/10000 [12:25<5:50:18,  2.20s/epoch, loss=8.799, lr=9.9e-05]
Training:   5%|▍         | 456/10000 [12:27<5:50:18,  2.20s/epoch, loss=10.73, lr=9.9e-05]
Training:   5%|▍         | 457/10000 [12:27<5:51:17,  2.21s/epoch, loss=10.73, lr=9.9e-05]
Training:   5%|▍         | 457/10000 [12:30<5:51:17,  2.21s/epoch, loss=8.109, lr=9.9e-05]
Training:   5%|▍         | 458/10000 [12:30<5:49:36,  2.20s/epoch, loss=8.109, lr=9.9e-05]
Training:   5%|▍         | 458/10000 [12:32<5:49:36,  2.20s/epoch, loss=9.63, lr=9.9e-05] 
Training:   5%|▍         | 459/10000 [12:32<5:49:28,  2.20s/epoch, loss=9.63, lr=9.9e-05]
Training:   5%|▍         | 459/10000 [12:34<5:49:28,  2.20s/epoch, loss=6.274, lr=9.9e-05]
Training:   5%|▍         | 460/10000 [12:34<5:50:36,  2.21s/epoch, loss=6.274, lr=9.9e-05]
Training:   5%|▍         | 460/10000 [12:36<5:50:36,  2.21s/epoch, loss=6.642, lr=9.9e-05]
Training:   5%|▍         | 461/10000 [12:36<5:49:42,  2.20s/epoch, loss=6.642, lr=9.9e-05]
Training:   5%|▍         | 461/10000 [12:38<5:49:42,  2.20s/epoch, loss=6.074, lr=9.9e-05]
Training:   5%|▍         | 462/10000 [12:38<5:49:46,  2.20s/epoch, loss=6.074, lr=9.9e-05]
Training:   5%|▍         | 462/10000 [12:41<5:49:46,  2.20s/epoch, loss=5.64, lr=9.9e-05] 
Training:   5%|▍         | 463/10000 [12:41<5:49:50,  2.20s/epoch, loss=5.64, lr=9.9e-05]
Training:   5%|▍         | 463/10000 [12:43<5:49:50,  2.20s/epoch, loss=8.12, lr=9.9e-05]
Training:   5%|▍         | 464/10000 [12:43<5:49:32,  2.20s/epoch, loss=8.12, lr=9.9e-05]
Training:   5%|▍         | 464/10000 [12:45<5:49:32,  2.20s/epoch, loss=4.872, lr=9.9e-05]
Training:   5%|▍         | 465/10000 [12:45<6:03:52,  2.29s/epoch, loss=4.872, lr=9.9e-05]
Training:   5%|▍         | 465/10000 [12:48<6:03:52,  2.29s/epoch, loss=14.11, lr=9.9e-05]
Training:   5%|▍         | 466/10000 [12:48<6:00:17,  2.27s/epoch, loss=14.11, lr=9.9e-05]
Training:   5%|▍         | 466/10000 [12:50<6:00:17,  2.27s/epoch, loss=10.9, lr=9.9e-05] 
Training:   5%|▍         | 467/10000 [12:50<5:55:44,  2.24s/epoch, loss=10.9, lr=9.9e-05]
Training:   5%|▍         | 467/10000 [12:52<5:55:44,  2.24s/epoch, loss=8.153, lr=9.9e-05]
Training:   5%|▍         | 468/10000 [12:52<5:54:29,  2.23s/epoch, loss=8.153, lr=9.9e-05]
Training:   5%|▍         | 468/10000 [12:54<5:54:29,  2.23s/epoch, loss=6.515, lr=9.9e-05]
Training:   5%|▍         | 469/10000 [12:54<5:53:28,  2.23s/epoch, loss=6.515, lr=9.9e-05]
Training:   5%|▍         | 469/10000 [12:56<5:53:28,  2.23s/epoch, loss=9.058, lr=9.9e-05]
Training:   5%|▍         | 470/10000 [12:56<5:51:05,  2.21s/epoch, loss=9.058, lr=9.9e-05]
Training:   5%|▍         | 470/10000 [12:59<5:51:05,  2.21s/epoch, loss=7.852, lr=9.9e-05]
Training:   5%|▍         | 471/10000 [12:59<5:50:31,  2.21s/epoch, loss=7.852, lr=9.9e-05]
Training:   5%|▍         | 471/10000 [13:01<5:50:31,  2.21s/epoch, loss=6.685, lr=9.9e-05]
Training:   5%|▍         | 472/10000 [13:01<5:49:54,  2.20s/epoch, loss=6.685, lr=9.9e-05]
Training:   5%|▍         | 472/10000 [13:03<5:49:54,  2.20s/epoch, loss=5.819, lr=9.9e-05]
Training:   5%|▍         | 473/10000 [13:03<5:50:05,  2.20s/epoch, loss=5.819, lr=9.9e-05]
Training:   5%|▍         | 473/10000 [13:05<5:50:05,  2.20s/epoch, loss=6.353, lr=9.9e-05]
Training:   5%|▍         | 474/10000 [13:05<5:48:41,  2.20s/epoch, loss=6.353, lr=9.9e-05]
Training:   5%|▍         | 474/10000 [13:07<5:48:41,  2.20s/epoch, loss=4.889, lr=9.9e-05]
Training:   5%|▍         | 475/10000 [13:07<5:49:47,  2.20s/epoch, loss=4.889, lr=9.9e-05]
Training:   5%|▍         | 475/10000 [13:10<5:49:47,  2.20s/epoch, loss=6.899, lr=9.9e-05]
Training:   5%|▍         | 476/10000 [13:10<5:49:12,  2.20s/epoch, loss=6.899, lr=9.9e-05]
Training:   5%|▍         | 476/10000 [13:12<5:49:12,  2.20s/epoch, loss=4.911, lr=9.9e-05]
Training:   5%|▍         | 477/10000 [13:12<5:48:02,  2.19s/epoch, loss=4.911, lr=9.9e-05]
Training:   5%|▍         | 477/10000 [13:14<5:48:02,  2.19s/epoch, loss=5.993, lr=9.9e-05]
Training:   5%|▍         | 478/10000 [13:14<5:50:15,  2.21s/epoch, loss=5.993, lr=9.9e-05]
Training:   5%|▍         | 478/10000 [13:16<5:50:15,  2.21s/epoch, loss=6.401, lr=9.9e-05]
Training:   5%|▍         | 479/10000 [13:16<5:49:42,  2.20s/epoch, loss=6.401, lr=9.9e-05]
Training:   5%|▍         | 479/10000 [13:18<5:49:42,  2.20s/epoch, loss=7.004, lr=9.9e-05]
Training:   5%|▍         | 480/10000 [13:18<5:47:59,  2.19s/epoch, loss=7.004, lr=9.9e-05]
Training:   5%|▍         | 480/10000 [13:21<5:47:59,  2.19s/epoch, loss=7.561, lr=9.9e-05]
Training:   5%|▍         | 481/10000 [13:21<5:46:56,  2.19s/epoch, loss=7.561, lr=9.9e-05]
Training:   5%|▍         | 481/10000 [13:23<5:46:56,  2.19s/epoch, loss=6.751, lr=9.9e-05]
Training:   5%|▍         | 482/10000 [13:23<5:47:33,  2.19s/epoch, loss=6.751, lr=9.9e-05]
Training:   5%|▍         | 482/10000 [13:25<5:47:33,  2.19s/epoch, loss=6.32, lr=9.9e-05] 
Training:   5%|▍         | 483/10000 [13:25<5:47:33,  2.19s/epoch, loss=6.32, lr=9.9e-05]
Training:   5%|▍         | 483/10000 [13:27<5:47:33,  2.19s/epoch, loss=6.526, lr=9.9e-05]
Training:   5%|▍         | 484/10000 [13:27<5:46:46,  2.19s/epoch, loss=6.526, lr=9.9e-05]
Training:   5%|▍         | 484/10000 [13:29<5:46:46,  2.19s/epoch, loss=5.599, lr=9.9e-05]
Training:   5%|▍         | 485/10000 [13:29<5:47:08,  2.19s/epoch, loss=5.599, lr=9.9e-05]
Training:   5%|▍         | 485/10000 [13:31<5:47:08,  2.19s/epoch, loss=5.317, lr=9.9e-05]
Training:   5%|▍         | 486/10000 [13:31<5:47:39,  2.19s/epoch, loss=5.317, lr=9.9e-05]
Training:   5%|▍         | 486/10000 [13:34<5:47:39,  2.19s/epoch, loss=5.283, lr=9.9e-05]
Training:   5%|▍         | 487/10000 [13:34<5:47:08,  2.19s/epoch, loss=5.283, lr=9.9e-05]
Training:   5%|▍         | 487/10000 [13:36<5:47:08,  2.19s/epoch, loss=5.241, lr=9.9e-05]
Training:   5%|▍         | 488/10000 [13:36<5:46:34,  2.19s/epoch, loss=5.241, lr=9.9e-05]
Training:   5%|▍         | 488/10000 [13:38<5:46:34,  2.19s/epoch, loss=6.236, lr=9.9e-05]
Training:   5%|▍         | 489/10000 [13:38<5:47:59,  2.20s/epoch, loss=6.236, lr=9.9e-05]
Training:   5%|▍         | 489/10000 [13:40<5:47:59,  2.20s/epoch, loss=6.205, lr=9.9e-05]
Training:   5%|▍         | 490/10000 [13:40<5:48:26,  2.20s/epoch, loss=6.205, lr=9.9e-05]
Training:   5%|▍         | 490/10000 [13:42<5:48:26,  2.20s/epoch, loss=6.822, lr=9.9e-05]
Training:   5%|▍         | 491/10000 [13:42<5:47:13,  2.19s/epoch, loss=6.822, lr=9.9e-05]
Training:   5%|▍         | 491/10000 [13:45<5:47:13,  2.19s/epoch, loss=5.305, lr=9.9e-05]
Training:   5%|▍         | 492/10000 [13:45<5:47:11,  2.19s/epoch, loss=5.305, lr=9.9e-05]
Training:   5%|▍         | 492/10000 [13:47<5:47:11,  2.19s/epoch, loss=6.641, lr=9.9e-05]
Training:   5%|▍         | 493/10000 [13:47<5:48:00,  2.20s/epoch, loss=6.641, lr=9.9e-05]
Training:   5%|▍         | 493/10000 [13:49<5:48:00,  2.20s/epoch, loss=5.586, lr=9.9e-05]
Training:   5%|▍         | 494/10000 [13:49<5:48:16,  2.20s/epoch, loss=5.586, lr=9.9e-05]
Training:   5%|▍         | 494/10000 [13:51<5:48:16,  2.20s/epoch, loss=5.658, lr=9.9e-05]
Training:   5%|▍         | 495/10000 [13:51<5:48:31,  2.20s/epoch, loss=5.658, lr=9.9e-05]
Training:   5%|▍         | 495/10000 [13:53<5:48:31,  2.20s/epoch, loss=5.325, lr=9.9e-05]
Training:   5%|▍         | 496/10000 [13:53<5:47:46,  2.20s/epoch, loss=5.325, lr=9.9e-05]
Training:   5%|▍         | 496/10000 [13:56<5:47:46,  2.20s/epoch, loss=5.306, lr=9.9e-05]
Training:   5%|▍         | 497/10000 [13:56<5:46:48,  2.19s/epoch, loss=5.306, lr=9.9e-05]
Training:   5%|▍         | 497/10000 [13:58<5:46:48,  2.19s/epoch, loss=5.748, lr=9.9e-05]
Training:   5%|▍         | 498/10000 [13:58<5:46:07,  2.19s/epoch, loss=5.748, lr=9.9e-05]
Training:   5%|▍         | 498/10000 [14:00<5:46:07,  2.19s/epoch, loss=5.042, lr=9.9e-05]
Training:   5%|▍         | 499/10000 [14:00<5:46:30,  2.19s/epoch, loss=5.042, lr=9.9e-05]
Training:   5%|▍         | 499/10000 [14:02<5:46:30,  2.19s/epoch, loss=5.779, lr=9.9e-05]
Training:   5%|▌         | 500/10000 [14:02<5:50:02,  2.21s/epoch, loss=5.779, lr=9.9e-05]
Training:   5%|▌         | 500/10000 [14:04<5:50:02,  2.21s/epoch, loss=4.986, lr=9.9e-05]
Training:   5%|▌         | 501/10000 [14:04<5:48:19,  2.20s/epoch, loss=4.986, lr=9.9e-05]
Training:   5%|▌         | 501/10000 [14:07<5:48:19,  2.20s/epoch, loss=4.445, lr=9.9e-05]
Training:   5%|▌         | 502/10000 [14:07<5:56:53,  2.25s/epoch, loss=4.445, lr=9.9e-05]
Training:   5%|▌         | 502/10000 [14:09<5:56:53,  2.25s/epoch, loss=5.523, lr=9.9e-05]
Training:   5%|▌         | 503/10000 [14:09<5:54:15,  2.24s/epoch, loss=5.523, lr=9.9e-05]
Training:   5%|▌         | 503/10000 [14:11<5:54:15,  2.24s/epoch, loss=4.637, lr=9.9e-05]
Training:   5%|▌         | 504/10000 [14:11<5:52:05,  2.22s/epoch, loss=4.637, lr=9.9e-05]
Training:   5%|▌         | 504/10000 [14:13<5:52:05,  2.22s/epoch, loss=6.286, lr=9.9e-05]
Training:   5%|▌         | 505/10000 [14:13<5:48:47,  2.20s/epoch, loss=6.286, lr=9.9e-05]
Training:   5%|▌         | 505/10000 [14:16<5:48:47,  2.20s/epoch, loss=6.435, lr=9.9e-05]
